price,brand,model,year,title_status,color,state,country,condition,km
13500,buick,encore,2016,clean vehicle,red,texas, usa,5 hours left,31631.5777
27102,ford,f-150,2019,clean vehicle,white,michigan, usa,1 minutes,30738.394
27102,ford,f-150,2019,clean vehicle,white,michigan, usa,1 minutes,32209.33076
25811,ford,f-150,2019,clean vehicle,black,michigan, usa,16 minutes,35041.76916
26602,ford,f-150,2019,clean vehicle,white,michigan, usa,1 minutes,34119.61734
27102,ford,f-150,2019,clean vehicle,white,michigan, usa,1 minutes,35028.89444
37500,buick,enclave,2019,clean vehicle,gray,wisconsin, usa,21 hours left,19965.47204
26211,ford,flex,2019,clean vehicle,blue,michigan, usa,21 hours left,28931.10518
24205,ford,flex,2019,clean vehicle,silver,michigan, usa,2 days left,36700.9987
37500,cadillac,xt5,2019,clean vehicle,black,wisconsin, usa,21 hours left,25770.36142
27111,ford,flex,2019,clean vehicle,black,michigan, usa,21 hours left,23145.52788
27411,ford,flex,2019,clean vehicle,black,michigan, usa,21 hours left,15546.2244
27302,ford,flex,2019,clean vehicle,black,michigan, usa,2 days left,30527.57046
27202,ford,f-150,2019,clean vehicle,gray,michigan, usa,1 minutes,39798.9782
26311,ford,flex,2019,clean vehicle,red,michigan, usa,21 hours left,25503.21098
26602,ford,f-150,2019,clean vehicle,white,michigan, usa,1 minutes,40247.98406
33500,bmw,series,2017,clean vehicle,blue,wisconsin, usa,21 hours left,35590.5541
27511,ford,flex,2019,clean vehicle,white,michigan, usa,21 hours left,19048.14824
21500,buick,door,2017,clean vehicle,red,wisconsin, usa,2 days left,38245.9651
27200,ford,f-150,2019,clean vehicle,silver,michigan, usa,20 hours left,41051.04472
26511,ford,flex,2019,clean vehicle,red,michigan, usa,21 hours left,29283.55064
24002,ford,flex,2019,clean vehicle,gray,michigan, usa,2 days left,25920.03004
21500,buick,door,2017,clean vehicle,silver,wisconsin, usa,2 days left,23990.431379999998
18511,ford,fusion,2019,clean vehicle,gray,michigan, usa,20 hours left,20494.9449
14000,kia,sorento,2017,clean vehicle,black,connecticut, usa,5 hours left,85977.38016
29000,buick,door,2017,clean vehicle,green,illinois, usa,21 hours left,28871.5596
23402,ford,flex,2019,clean vehicle,gray,michigan, usa,2 days left,28029.87478
13300,kia,door,2017,clean vehicle,no_color,connecticut, usa,5 hours left,59746.7475
19700,bmw,x3,2017,clean vehicle,black,wisconsin, usa,2 days left,98858.53752
23211,ford,flex,2019,clean vehicle,black,michigan, usa,21 hours left,27399.0135
15500,kia,sorento,2017,clean vehicle,red,connecticut, usa,5 hours left,60620.61912
18111,ford,fusion,2019,clean vehicle,black,michigan, usa,20 hours left,25435.6187
21500,kia,sorento,2017,clean vehicle,gray,connecticut, usa,5 hours left,70426.32774
25511,ford,mustang,2019,clean vehicle,gray,michigan, usa,19 hours left,18253.13428
17700,chevrolet,equinox,2017,clean vehicle,blue,wisconsin, usa,21 hours left,57395.50176
28000,chevrolet,cutaway,2017,clean vehicle,white,illinois, usa,21 hours left,20567.3652
14000,chevrolet,door,2017,clean vehicle,blue,wisconsin, usa,21 hours left,61891.99772
21700,chevrolet,door,2017,clean vehicle,silver,wisconsin, usa,21 hours left,55393.4828
13500,chevrolet,door,2017,clean vehicle,white,wisconsin, usa,21 hours left,74829.48198
35500,chevrolet,1500,2017,clean vehicle,no_color,wisconsin, usa,21 hours left,34227.443119999996
